solute,atomicweights,ionizationenergyeV,electronegpaulingscale,structure,electronaffinityeV,confs,confp,confd,conff,atomicradiuspm,a%(solute),a%(Al),a%(N),w%(solute),w%(Al),w%(N),e33_ion,e33_ele,e33_sum,c33,d33
V,50.9415,6.746,1.63,BCC,0.525,2,0,3,0,179,0.25,0.25,0.5,NA,NA,NA,1,-0.261,0.739,217.98,3.390219286
Ta,180.9479,7.89,1.5,BCC,0.322,2,0,3,14,217,0.083333333,0.416666667,0.5,NA,NA,NA,2.145,-0.359,1.786,221.67,8.1
Ta,180.9479,7.89,1.5,BCC,0.322,2,0,3,14,217,0.166666667,0.333333333,0.5,NA,NA,NA,2.079,-0.32,1.759,257.81,6.82285404
Ta,180.9479,7.89,1.5,BCC,0.322,2,0,3,14,217,0.25,0.25,0.5,NA,NA,NA,4.472,-0.2,4.272,189.27,22.57093042
Mo,95.95,7.092,2.16,BCC,0.746,1,0,5,0,209,0.083333333,0.416666667,0.5,NA,NA,NA,1.831,-0.433,1.398,286.62,4.877538204
Mo,95.95,7.092,2.16,BCC,0.746,1,0,5,0,209,0.166666667,0.333333333,0.5,NA,NA,NA,1.829,-0.273,1.556,211.97,7.340661414
Mo,95.95,7.092,2.16,BCC,0.746,1,0,5,0,209,0.25,0.25,0.5,NA,NA,NA,1.561,-0.311,1.25,225.69,5.538570606
Cu,63.55,7.726,1.9,FCC,1.228,1,0,10,0,140,0.083333333,0.416666667,0.5,NA,NA,NA,1.736,-0.389,1.347,278.37,4.8388835
Cu,63.55,7.726,1.9,FCC,1.228,1,0,10,0,140,0.166666667,0.333333333,0.5,NA,NA,NA,1.8,0.031,1.831,236.18,7.752561606
Cu,63.55,7.726,1.9,FCC,1.228,1,0,10,0,140,0.25,0.25,0.5,NA,NA,NA,1.651,-0.278,1.373,203.37,6.751241579
Ag,107.868,7.576,1.93,FCC,1.302,1,0,10,0,172,0.083333333,0.416666667,0.5,NA,NA,NA,1.661,-0.923,0.738,224.26,3.3
Ag,107.868,7.576,1.93,FCC,1.302,1,0,10,0,172,0.166666667,0.333333333,0.5,NA,NA,NA,2.098,-0.372,1.726,202.53,8.5
Ag,107.868,7.576,1.93,FCC,1.302,1,0,10,0,172,0.25,0.25,0.5,NA,NA,NA,1.54,-0.503,1.037,161.38,6.4
Au,196.96657,9.226,2.54,FCC,2.309,1,0,10,14,166,0.083333333,0.416666667,0.5,NA,NA,NA,1.432,-0.596,0.836,327.42,2.553295461
Au,196.96657,9.226,2.54,FCC,2.309,1,0,10,14,166,0.166666667,0.333333333,0.5,NA,NA,NA,0.923,-0.547,0.376,268.5,1.400215991
Au,196.96657,9.226,2.54,FCC,2.309,1,0,10,14,166,0.25,0.25,0.5,NA,NA,NA,0.535,-0.785,-0.25,263,-0.9505342
Co,58.93319,7.881,1.88,HCP,0.661,2,0,7,0,192,0.083333333,0.416666667,0.5,NA,NA,NA,2.211,-0.71,1.503,306.88,4.897679875
Co,58.93319,7.881,1.88,HCP,0.661,2,0,7,0,192,0.166666667,0.333333333,0.5,NA,NA,NA,1.56,0,1.594,285.38,5.585535076
Co,58.93319,7.881,1.88,HCP,0.661,2,0,7,0,192,0.25,0.25,0.5,NA,NA,NA,0.4,-1.01,-0.653,297.07,-2.19813512
Fe,55.84,7.902,1.83,BCC,0.163,2,0,6,0,194,0.083333333,0.416666667,0.5,NA,NA,NA,0.327,-1.161,-0.834,293.77,-2.838955646
Fe,55.84,7.902,1.83,BCC,0.163,2,0,6,0,194,0.166666667,0.333333333,0.5,NA,NA,NA,2.513,-0.164,2.349,277.58,8.462425247
Fe,55.84,7.902,1.83,BCC,0.163,2,0,6,0,194,0.25,0.25,0.5,NA,NA,NA,1.089,0.991,2.08,271.67,7.656347775
Rh,102.9055,7.459,2.28,FCC,1.137,1,0,8,0,195,0.083333333,0.416666667,0.5,NA,NA,NA,1.941,-0.366,1.575,263.73,5.972016835
Rh,102.9055,7.459,2.28,FCC,1.137,1,0,8,0,195,0.166666667,0.333333333,0.5,NA,NA,NA,1.727,-0.25,1.477,252.18,5.856927591
Rh,102.9055,7.459,2.28,FCC,1.137,1,0,8,0,195,0.25,0.25,0.5,NA,NA,NA,-0.026,-1.284,-1.31,297.66,-4.400994423
Pt,195.08,9,2.28,FCC,2.128,1,0,9,14,209,0.083333333,0.416666667,0.5,NA,NA,NA,1.723,-0.49,1.233,325.75,3.785111282
Pt,195.08,9,2.28,FCC,2.128,1,0,9,14,209,0.166666667,0.333333333,0.5,NA,NA,NA,0.267,-1.071,-0.804,311.38,-2.582054082
Pt,195.08,9,2.28,FCC,2.128,1,0,9,14,209,0.25,0.25,0.5,NA,NA,NA,0.651,-0.661,-0.01,309.58,-0.032301828
Zn,65.4,9.394,1.65,HCP,0,2,0,10,0,139,0.083333333,0.416666667,0.5,NA,NA,NA,1.585,-0.559,1.026,289.67,3.541961542
Zn,65.4,9.394,1.65,HCP,0,2,0,10,0,139,0.166666667,0.333333333,0.5,NA,NA,NA,1.121,-0.547,0.574,261.15,2.197970515
Zn,65.4,9.394,1.65,HCP,0,2,0,10,0,139,0.25,0.25,0.5,NA,NA,NA,1.951,-0.944,1.007,237.59,4.238393872
Hg,200.59,10.438,2,RHO,0,2,0,10,14,209,0.083333333,0.416666667,0.5,NA,NA,NA,1.441,-0.666,0.775,297.66,2.603641739
Hg,200.59,10.438,2,RHO,0,2,0,10,14,209,0.166666667,0.333333333,0.5,NA,NA,NA,1.477,-0.459,1.018,246.53,4.129314891
Hg,200.59,10.438,2,RHO,0,2,0,10,14,209,0.25,0.25,0.5,NA,NA,NA,1.446,-0.408,1.038,196.06,5.294297664
Tc,96.90636,7.28,1.9,HCP,0.55,2,0,5,0,209,0.083333333,0.416666667,0.5,NA,NA,NA,1.065,-0.449,0.616,246.31,2.500913483
Tc,96.90636,7.28,1.9,HCP,0.55,2,0,5,0,209,0.166666667,0.333333333,0.5,NA,NA,NA,0.403,-0.404,-0.001,248.71,-0.004020747
Tc,96.90636,7.28,1.9,HCP,0.55,2,0,5,0,209,0.25,0.25,0.5,NA,NA,NA,2.759,-0.447,2.312,304.76,7.586297414
